"arc_length","pressure (4)"
0.747004,97993.3
0.748672,82211.8
0.75035,68269.4
0.751943,65261
0.75206,65272.3
0.753819,66959.2
0.755644,68274.3
0.757553,69343.3
0.759557,70317.1
0.761668,71212.1
0.763093,71758.6
0.763885,72059.3
0.766199,72973.8
0.768612,74043.2
0.771113,75332.2
0.773693,76929.5
0.775087,77992.2
0.776318,78901.6
0.778969,81303.9
0.781622,84191.1
0.784231,87515.9
0.786744,91060.1
0.789102,94420.7
0.791257,97182.3
0.793165,99394.1
0.793208,99447.7
0.795015,102095
0.796734,103609
0.798412,97993.3
0.800079,82211.8
0.801758,68269.4
0.803351,65261
0.803468,65272.3
0.805226,66959.2
0.807051,68274.3
0.80896,69343.3
0.810965,70317.1
0.813076,71212.1
0.814501,71758.6
0.815292,72059.3
0.817606,72973.8
0.820019,74043.2
0.822521,75332.2
0.8251,76929.5
0.826494,77992.2
0.827726,78901.6
0.830377,81303.9
0.833029,84191.1
0.835639,87515.9
0.838152,91060.1
0.84051,94420.7
0.842664,97182.3
0.844572,99394.1
0.844616,99447.7
0.846423,102095
0.848141,103609
0.849819,97993.4
0.851487,82211.9
0.853165,68269.4
0.854758,65261
0.854875,65272.3
0.856634,66959.2
0.858459,68274.3
0.860368,69343.3
0.862372,70317.1
0.864483,71212.1
0.865908,71758.6
0.8667,72059.3
0.869014,72973.8
0.871427,74043.2
0.873928,75332.2
0.876508,76929.5
0.877902,77992.2
0.879133,78901.6
0.881784,81303.9
0.884437,84191.1
0.887046,87515.9
0.889559,91060.1
0.891917,94420.7
0.894072,97182.3
0.89598,99394.1
0.896023,99447.7
0.897831,102095
0.899549,103609
0.901227,97993.4
0.902894,82211.8
0.904573,68269.4
0.906166,65261
0.906283,65272.3
0.908041,66959.2
0.909866,68274.3
0.911775,69343.3
0.91378,70317.1
0.915891,71212.1
0.917316,71758.6
0.918107,72059.3
0.920421,72973.8
0.922834,74043.2
0.925336,75332.2
0.927915,76929.5
0.929309,77992.2
0.930541,78901.6
0.933192,81303.9
0.935844,84191.1
0.938454,87515.9
0.940967,91060.1
0.943325,94420.7
0.945479,97182.3
0.947387,99394.1
0.947431,99447.7
0.949238,102095
0.950956,103609
0.952634,97993.3
0.954302,82211.8
0.95598,68269.4
0.957574,65261
0.957691,65272.3
0.959449,66959.2
0.961274,68274.3
0.963183,69343.3
0.965187,70317.1
0.967298,71212.1
0.968723,71758.6
0.969515,72059.3
0.971829,72973.8
0.974242,74043.2
0.976743,75332.2
0.979323,76929.5
0.980717,77992.2
0.981949,78901.6
0.984599,81303.9
0.987252,84191.1
0.989861,87515.9
0.992374,91060.1
0.994732,94420.7
0.996887,97182.3
0.998795,99394.1
0.998838,99447.7
1.00065,102095
1.00236,103609
1.00404,97993.3
1.00571,82211.8
1.00739,68269.4
1.00898,65261
1.0091,65272.3
1.01086,66959.2
1.01268,68274.3
1.01459,69343.3
1.01659,70317.1
1.01871,71212.1
1.02013,71758.6
1.02092,72059.3
1.02324,72973.8
1.02565,74043.2
1.02815,75332.2
1.03073,76929.5
1.03212,77992.2
1.03336,78901.6
1.03601,81303.9
1.03866,84191.1
1.04127,87515.9
1.04378,91060.1
1.04614,94420.7
1.04829,97182.3
1.0502,99394.1
1.05025,99447.7
1.05205,102095
1.05377,103609
1.05545,97993.4
1.05712,82211.8
1.0588,68269.4
1.06039,65261
1.06051,65272.3
1.06226,66959.2
1.06409,68274.3
1.066,69343.3
1.068,70317.1
1.07011,71212.1
1.07154,71758.6
1.07233,72059.3
1.07464,72973.8
1.07706,74043.2
1.07956,75332.2
1.08214,76929.5
1.08353,77992.2
1.08476,78901.6
1.08741,81303.9
1.09007,84191.1
1.09268,87515.9
1.09519,91060.1
1.09755,94420.7
1.0997,97182.3
1.10161,99394.1
1.10165,99447.7
1.10346,102095
1.10518,103609
1.10686,97993.4
1.10852,82211.8
1.1102,68269.4
1.1118,65261
1.11191,65272.3
1.11367,66959.2
1.1155,68274.3
1.11741,69343.3
1.11941,70317.1
1.12152,71212.1
1.12295,71758.6
1.12374,72059.3
1.12605,72973.8
1.12846,74043.2
1.13097,75332.2
